编号,标题,状态,网友,时间
206754,唯斯塑制品有限公司拖欠工资,已受理,xhs268,2019-01-16 10:51:22
206752,东华高中高一校区天桥红绿灯附近垃圾焚烧气味弥散校园影响师生健..,已受理,abeluo,2019-01-16 10:47:36
206751,对教育局的回复不满意,已受理,古诗代,2019-01-16 10:46:15
206749,莞城区运河东三路的中国石化胜和加油站出口很多小车长期违章乱停,已受理,张朝义,2019-01-16 10:42:09
206748,虎门长堤路乱停车问题,已受理,zhxm,2019-01-16 10:36:17
206746,噪音及油烟,已受理,judy11,2019-01-16 10:31:27
206745,横沥环卫车清早扰民休息,已受理,吴长国,2019-01-16 10:21:59
206743,工厂门前通讯电线长时间无人处理事项,待处理,山高人为峰@1,2019-01-16 10:17:30
206742,信用卡信息业务,已受理,668803,2019-01-16 10:16:27
206741,关于莞城草塘小区停车问题,已受理,山楂饼,2019-01-15 17:44:10
206739,整改后的瓷砖与原来的严重不协调，横、坚线严重不对齐,已受理,quixote,2019-01-15 17:31:44
206736,工业噪音扰民,已受理,assdd,2019-01-15 17:24:55
206735,石碣镇五株电子厂顶楼机器噪音24小时严重影响居民生活,已受理,kimm,2019-01-15 17:22:38
206733,南城新基香园路泊寓2店公寓旁边鞋厂异味严重，危害健康,已受理,ququ123,2019-01-15 17:20:44
206732,报建申批不合理,待处理,hyymo,2019-01-15 17:19:52
206731,塘厦社保局这边问他们问题各种不耐烦,已受理,z工口,2019-01-15 17:06:52
206729,占道经营,已受理,小童声,2019-01-15 17:03:54
206728,关于东莞市黄江镇星光城沃尔玛噪音扰民问题,已受理,w@y,2019-01-15 17:02:20
206725,关于东莞市黄江镇星光城沃尔玛违规改变住宅用途,已受理,w@y,2019-01-15 16:44:27
